"Intent or Manner","Age Group","State","Race","Death Count","Population","Crude Rate"
"Suicide","0 to 4","Alabama","White","--","180,341","--"
"Suicide","0 to 4","Alabama","Black","--","89,099","--"
"Suicide","0 to 4","Alaska","White","--","23,352","--"
"Suicide","0 to 4","Alaska","Black","--","1,810","--"
"Suicide","0 to 4","Arizona","White","--","296,789","--"
"Suicide","0 to 4","Arizona","Black","--","27,145","--"
"Suicide","0 to 4","Arkansas","White","--","127,187","--"
"Suicide","0 to 4","Arkansas","Black","--","35,259","--"
"Suicide","0 to 4","California","White","--","918,284","--"
"Suicide","0 to 4","California","Black","--","84,896","--"
"Suicide","0 to 4","Colorado","White","--","241,393","--"
"Suicide","0 to 4","Colorado","Black","--","20,295","--"
"Suicide","0 to 4","Connecticut","White","--","124,676","--"
"Suicide","0 to 4","Connecticut","Black","--","30,095","--"
"Suicide","0 to 4","Delaware","White","--","30,969","--"
"Suicide","0 to 4","Delaware","Black","--","15,323","--"
"Suicide","0 to 4","District of Columbia","White","--","15,627","--"
"Suicide","0 to 4","District of Columbia","Black","--","18,658","--"
"Suicide","0 to 4","Florida","White","--","533,690","--"
"Suicide","0 to 4","Florida","Black","--","178,163","--"
"Suicide","0 to 4","Georgia","White","--","335,064","--"
"Suicide","0 to 4","Georgia","Black","--","227,140","--"
"Suicide","0 to 4","Hawaii","White","--","15,012","--"
"Suicide","0 to 4","Hawaii","Black","--","1,896","--"
"Suicide","0 to 4","Idaho","White","--","100,323","--"
"Suicide","0 to 4","Idaho","Black","--","1,752","--"
"Suicide","0 to 4","Illinois","White","--","481,889","--"
"Suicide","0 to 4","Illinois","Black","--","116,710","--"
"Suicide","0 to 4","Indiana","White","--","313,669","--"
"Suicide","0 to 4","Indiana","Black","--","53,660","--"
"Suicide","0 to 4","Iowa","White","--","154,058","--"
"Suicide","0 to 4","Iowa","Black","--","13,703","--"
"Suicide","0 to 4","Kansas","White","--","141,473","--"
"Suicide","0 to 4","Kansas","Black","--","13,238","--"
"Suicide","0 to 4","Kentucky","White","--","213,657","--"
"Suicide","0 to 4","Kentucky","Black","--","27,248","--"
"Suicide","0 to 4","Louisiana","White","--","153,492","--"
"Suicide","0 to 4","Louisiana","Black","--","106,289","--"
"Suicide","0 to 4","Maine","White","--","54,442","--"
"Suicide","0 to 4","Maine","Black","--","2,822","--"
"Suicide","0 to 4","Maryland","White","--","181,975","--"
"Suicide","0 to 4","Maryland","Black","--","113,480","--"
"Suicide","0 to 4","Massachusetts","White","--","236,165","--"
"Suicide","0 to 4","Massachusetts","Black","--","52,496","--"
"Suicide","0 to 4","Michigan","White","--","380,098","--"
"Suicide","0 to 4","Michigan","Black","--","98,116","--"
"Suicide","0 to 4","Minnesota","White","--","237,344","--"
"Suicide","0 to 4","Minnesota","Black","--","40,249","--"
"Suicide","0 to 4","Mississippi","White","--","89,424","--"
"Suicide","0 to 4","Mississippi","Black","--","75,092","--"
"Suicide","0 to 4","Missouri","White","--","266,780","--"
"Suicide","0 to 4","Missouri","Black","--","52,085","--"
"Suicide","0 to 4","Montana","White","--","47,093","--"
"Suicide","0 to 4","Montana","Black","--","490","--"
"Suicide","0 to 4","Nebraska","White","--","99,031","--"
"Suicide","0 to 4","Nebraska","Black","--","9,179","--"
"Suicide","0 to 4","Nevada","White","--","109,375","--"
"Suicide","0 to 4","Nevada","Black","--","25,766","--"
"Suicide","0 to 4","New Hampshire","White","--","55,451","--"
"Suicide","0 to 4","New Hampshire","Black","--","2,002","--"
"Suicide","0 to 4","New Jersey","White","--","332,263","--"
"Suicide","0 to 4","New Jersey","Black","--","94,492","--"
"Suicide","0 to 4","New Mexico","White","--","81,687","--"
"Suicide","0 to 4","New Mexico","Black","--","3,549","--"
"Suicide","0 to 4","New York","White","--","657,477","--"
"Suicide","0 to 4","New York","Black","--","219,142","--"
"Suicide","0 to 4","North Carolina","White","--","365,980","--"
"Suicide","0 to 4","North Carolina","Black","--","151,185","--"
"Suicide","0 to 4","North Dakota","White","--","37,635","--"
"Suicide","0 to 4","North Dakota","Black","--","3,388","--"
"Suicide","0 to 4","Ohio","White","--","482,242","--"
"Suicide","0 to 4","Ohio","Black","--","112,281","--"
"Suicide","0 to 4","Oklahoma","White","--","149,184","--"
"Suicide","0 to 4","Oklahoma","Black","--","23,449","--"
"Suicide","0 to 4","Oregon","White","--","161,587","--"
"Suicide","0 to 4","Oregon","Black","--","6,167","--"
"Suicide","0 to 4","Pennsylvania","White","--","482,785","--"
"Suicide","0 to 4","Pennsylvania","Black","--","108,552","--"
"Suicide","0 to 4","Rhode Island","White","--","37,347","--"
"Suicide","0 to 4","Rhode Island","Black","--","7,223","--"
"Suicide","0 to 4","South Carolina","White","--","174,248","--"
"Suicide","0 to 4","South Carolina","Black","--","86,126","--"
"Suicide","0 to 4","South Dakota","White","--","42,132","--"
"Suicide","0 to 4","South Dakota","Black","--","2,414","--"
"Suicide","0 to 4","Tennessee","White","--","288,863","--"
"Suicide","0 to 4","Tennessee","Black","--","81,357","--"
"Suicide","0 to 4","Texas","White","--","822,522","--"
"Suicide","0 to 4","Texas","Black","--","215,347","--"
"Suicide","0 to 4","Utah","White","--","199,577","--"
"Suicide","0 to 4","Utah","Black","--","4,364","--"
"Suicide","0 to 4","Vermont","White","--","24,870","--"
"Suicide","0 to 4","Vermont","Black","--","651","--"
"Suicide","0 to 4","Virginia","White","--","303,460","--"
"Suicide","0 to 4","Virginia","Black","--","108,228","--"
"Suicide","0 to 4","Washington","White","--","287,699","--"
"Suicide","0 to 4","Washington","Black","--","24,308","--"
"Suicide","0 to 4","West Virginia","White","--","78,223","--"
"Suicide","0 to 4","West Virginia","Black","--","3,606","--"
"Suicide","0 to 4","Wisconsin","White","--","242,169","--"
"Suicide","0 to 4","Wisconsin","Black","--","32,763","--"
"Suicide","0 to 4","Wyoming","White","--","27,196","--"
"Suicide","0 to 4","Wyoming","Black","--","489","--"
"Suicide","5 to 9","Alabama","White","--","195,845","--"
"Suicide","5 to 9","Alabama","Black","--","88,383","--"
"Suicide","5 to 9","Alaska","White","--","26,339","--"
"Suicide","5 to 9","Alaska","Black","--","1,903","--"
"Suicide","5 to 9","Arizona","White","--","329,307","--"
"Suicide","5 to 9","Arizona","Black","--","30,234","--"
"Suicide","5 to 9","Arkansas","White","--","139,243","--"
"Suicide","5 to 9","Arkansas","Black","--","34,774","--"
"Suicide","5 to 9","California","White","--","1,021,998","--"
"Suicide","5 to 9","California","Black","--","85,783","--"
"Suicide","5 to 9","Colorado","White","--","268,503","--"
"Suicide","5 to 9","Colorado","Black","--","18,706","--"
